code,name,price,pct_change,turnover,amount,pe,market_cap,score
603876,鼎胜新材,25.23,2.187,3.53859,843023953,45.054,2344541,48.63818
920026,卓兆点胶,26.03,6.245,4.932,111900619,41.317,299106,48.599000000000004
601872,招商轮船,14.42,-1.368,1.28367,1499658017,19.486,11643485,48.46334
601020,华钰矿业,20.54,-1.107,3.38515,571744828,19.377,1684207,48.4493
002202,金风科技,21.13,-0.565,2.50335,1770083900,33.176,8924865,48.3117
600352,浙江龙盛,10.73,-0.556,2.41968,855511625,19.086,3490825,48.17136
600363,联创光电,32.74,-0.365,4.62476,685698211,30.887,1476209,48.15452
300573,兴齐眼药,36.3,1.171,2.27811,225671689,12.827,1297082,48.06922
300014,亿纬锂能,55.1,-0.47,2.17405,2529117328,27.277,11974866,47.9381
002050,三花智控,45.69,0.728,2.84289,4725497667,44.359,19226416,47.86978
000543,皖能电力,8.63,1.291,1.92502,371992451,9.084,1956303,47.72304
603733,仙鹤股份,27.12,1.119,2.0865,392948712,18.965,1919348,47.53
605208,永茂泰,15.67,3.364,6.19321,313823646,74.619,517016,47.47842
002982,湘佳股份,13.26,3.594,14.1671,245380520,78.0,269435,47.4478
300733,西菱动力,14.22,6.199,4.42025,180335153,43.513,563969,47.4375
002353,杰瑞股份,145.01,0.145,3.44201,3451207265,54.928,14846933,47.31902
301219,腾远钴业,53.87,0.56,2.81703,414595156,14.289,2062312,47.31406
600729,重百集团,20.05,3.832,2.90791,109813206,8.424,883108,47.31182
300832,新产业,43.75,3.355,1.11076,326910883,21.216,3437520,47.286519999999996
000534,万泽股份,29.42,2.366,5.08762,738669037,74.013,1499092,47.27324
600027,华电国际,5.07,0.0,1.13094,528272567,10.347,5887170,47.261880000000005
301180,万祥科技,13.99,6.388,6.51384,146283868,,559614,47.191680000000005
601187,厦门银行,7.81,1.693,1.05531,215888541,8.678,2061159,47.189620000000005
603270,金帝股份,30.1,0.066,11.5655,246352425,44.925,659511,47.067
301220,亚香股份,36.01,4.65,4.0142,109315533,34.961,406088,46.9784
600573,惠泉啤酒,13.31,2.306,18.8515,618594202,41.594,332750,46.918
600114,东睦股份,39.72,-1.219,5.28412,1287557192,46.186,2507855,46.91124
301092,争光股份,47.87,1.981,7.96705,231150426,63.827,644020,46.8771
603890,春秋电子,22.8,-3.39,14.0086,1432645356,35.625,1018774,46.8128
603012,创力集团,7.65,2.41,4.73917,229842704,47.813,494572,46.70834
600426,华鲁恒升,26.7,-0.224,1.13692,638279005,17.083,5647960,46.601839999999996
920186,中科仪,88.6,-4.402,7.38732,781648986,18.045,1983214,46.56864
000539,粤电力Ａ,7.55,0.266,5.37282,1044105340,66.054,3963964,46.543639999999996
001369,双欣材料,14.76,-2.703,10.1792,300952924,23.806,1692972,46.5326
002972,科安达,13.07,1.95,7.82896,135777247,36.775,321534,46.50792
603005,晶方科技,44.11,-1.716,11.6859,3362699563,77.386,2876729,46.480199999999996
001286,陕西能源,11.8,1.114,1.53814,243568274,14.75,4425000,46.41828
000878,云南铜业,16.08,0.752,1.959,628125858,27.922,3899696,46.174
601168,西部矿业,29.54,-0.539,1.36077,961314530,19.307,7039382,46.10454
603271,永杰新材,45.01,4.529,3.749,156983310,20.004,891806,46.085
002597,金禾实业,20.22,5.919,1.64688,184535278,32.095,1149143,46.05076
600021,上海电力,17.14,-0.753,1.64178,795942201,19.64,4835597,46.02456
000899,赣能股份,12.81,0.787,1.82846,227431247,12.437,1249843,46.017920000000004
300373,扬杰科技,100.19,-0.209,3.21245,1748378155,43.0,5443801,45.7979
300976,达瑞电子,67.1,-0.238,5.66898,457128842,31.355,1255655,45.62396
300775,三角防务,22.25,1.459,3.08783,361774078,31.338,1218301,45.55266
603341,龙旗科技,35.39,1.201,3.46969,325986321,27.866,1849448,45.54238
601717,中创智领,17.5,1.039,1.20672,328012890,7.152,3124450,45.53044
920015,锦华新材,47.8,-3.043,10.2333,200173093,26.29,648009,45.404399999999995
002637,赞宇科技,11.53,0.611,4.20932,223163128,28.825,542372,45.25164
601156,东航物流,16.46,0.858,1.30464,202626370,9.74,2613116,45.183279999999996
002648,卫星化学,23.56,-0.758,1.19316,949999997,14.911,7936529,45.11232
600458,时代新材,15.23,-2.121,5.7304,761864568,25.814,1417538,45.0978
000612,焦作万方,10.58,0.284,2.06294,260308626,11.782,1261347,44.97788
301596,瑞迪智驱,57.66,2.434,6.32795,157613745,36.344,622909,44.9579
301029,怡合达,29.85,-1.192,4.21827,595065019,36.852,1893095,44.86054
002273,水晶光电,33.18,-2.669,3.93051,1782519037,38.581,4614118,44.85402
600559,老白干酒,12.14,2.017,1.8345,202677413,25.83,1110503,44.72
300724,捷佳伟创,68.95,-2.199,3.15528,631983850,9.169,2401473,44.71356
600563,法拉电子,150.25,-3.065,4.44378,1508754228,28.349,3380625,44.69256
600930,华电新能,5.69,-0.524,3.10318,563095945,31.611,23735429,44.63436
603407,长裕集团,50.13,3.403,10.2979,183457776,73.721,2044679,44.6132
002803,吉宏股份,21.07,0.621,3.87403,238163253,31.448,949004,44.61106
300811,铂科新材,86.06,-2.537,6.10397,1767303930,59.352,3492689,44.596940000000004
600875,东方电气,29.49,-2.092,2.88245,1918616410,25.643,10198705,44.4889
002056,横店东磁,24.72,-2.983,4.1201,1658548334,21.31,4021232,44.2912
000783,长江证券,7.38,-1.072,1.23568,504671659,11.714,4081194,44.255359999999996
000338,潍柴动力,27.57,-2.199,2.92228,3962355159,21.709,23881533,44.24756
601888,中国中免,57.01,-1.792,2.27864,2564579065,32.889,11845519,44.18128
600026,中远海能,16.65,0.422,1.44324,913867663,20.153,9109105,44.15248
301439,泓淋电力,17.2,-1.602,6.96235,220229739,33.077,669255,44.118700000000004
002475,立讯精密,64.58,-1.42,1.68341,7910698034,28.201,47096015,44.10682
002472,双环传动,41.08,-3.771,5.13921,1587090330,27.387,3491531,43.96542
603997,继峰股份,13.83,1.916,1.6031,280544608,38.417,1759542,43.9542
300124,汇川技术,69.21,-1.27,1.36116,2281559335,37.011,18739327,43.91232
002414,高德红外,12.65,3.097,2.29918,977644546,78.718,5402481,43.889359999999996
000425,徐工机械,8.85,-4.531,3.71346,2913704985,15.526,10364421,43.83392
002416,爱施德,10.27,1.282,2.48984,304486091,33.995,1272742,43.82568
601677,明泰铝业,16.7,-2.396,2.96193,623937408,10.774,2076684,43.73586
301363,美好医疗,24.95,2.675,2.79427,257737616,49.9,1419334,43.61354
002716,湖南白银,8.68,1.878,3.96185,795275543,72.333,2450441,43.5577
002922,伊戈尔,34.1,0.858,5.47494,700258680,68.2,1441008,43.52388
300033,同花顺,193.04,-2.702,3.30785,2809946901,32.389,14528963,43.5097
000600,建投能源,10.07,-0.983,3.19869,350748098,9.692,1815857,43.44838
601117,中国化学,7.34,0.41,1.10733,489690018,6.925,4482293,43.44466
603617,君禾股份,7.36,5.143,3.96976,110420084,56.615,286901,43.36852
002138,顺络电子,55.63,-4.58,8.54924,3620896907,42.792,4485549,43.35848
300827,上能电气,29.83,-2.068,4.77484,555366721,32.424,1660611,43.34568
002293,罗莱生活,10.12,3.582,1.26183,103764056,16.176,843849,43.26966
302132,中航成飞,57.6,1.623,1.68418,565064940,44.842,15391246,43.237359999999995
000977,浪潮信息,57.84,-2.61,3.00676,2560486683,35.29,8493669,43.18352
000983,山西焦煤,7.17,0.0,1.58603,645762659,33.901,4070481,43.17206
300850,新强联,28.97,-1.295,3.52016,314207517,13.601,1199607,43.15532
300508,维宏股份,47.05,-0.085,6.68664,261759898,58.022,512122,43.11828
002432,九安医疗,61.74,-4.986,4.02067,1172302847,11.807,2876429,43.08334
300206,理邦仪器,13.28,3.994,3.03922,133965109,25.185,769793,43.06044
605287,德才股份,39.38,3.089,4.3521,241222507,75.731,551320,42.971199999999996
000791,甘肃能源,8.24,-0.121,1.63583,261952635,13.03,2672924,42.90866
002402,和而泰,23.86,-0.955,2.87138,558329677,33.001,2203207,42.877759999999995
001393,维通利,55.62,-3.605,9.33132,252063200,34.547,1386792,42.84764
001400,江顺科技,109.18,2.401,5.22872,253955988,73.99,917112,42.66044
300008,天海防务,6.3,0.8,2.62949,268440801,36.479,1088658,42.65898
300073,当升科技,48.14,-0.558,2.16159,527054207,39.759,2620230,42.64918
002517,恺英网络,14.18,-2.342,2.28403,614009903,15.933,3029477,42.54206
600237,铜峰电子,10.28,-3.925,9.65345,622745778,54.105,648143,42.5319
001316,润贝航科,36.82,-0.109,3.90496,214011198,22.83,593397,42.48292
000672,上峰材料,16.14,1.001,2.23774,351158179,23.876,1564604,42.47848
300145,南方泵业,5.4,-1.639,6.19705,641009140,43.902,1036931,42.4771
600111,XD北方稀,47.52,1.149,1.9545,3340800702,76.313,17178793,42.356
001337,四川黄金,40.42,0.773,2.49848,424658789,36.414,1697640,42.315960000000004
301252,同星科技,37.5,1.351,4.12731,207871117,57.692,634595,42.30762
000521,长虹美菱,5.83,2.102,2.99402,152982607,14.59,600446,42.294039999999995
002568,百润股份,19.79,0.712,2.56135,383744029,31.919,2061373,42.258700000000005
603063,禾望电气,49.92,-2.29,4.5264,1048913278,42.667,2294020,42.1828
600031,三一重工,18.22,-3.342,1.10223,1701857048,18.528,16753298,42.17846
000554,泰山石油,6.49,1.884,5.75199,135306522,20.174,312035,42.15598
002246,北化股份,20.5,2.193,2.78708,313451618,42.708,1125521,42.15316
002125,湘潭电化,18.32,-1.875,16.1196,1891351803,50.889,1153265,42.1358
000737,北方铜业,12.8,1.106,1.87993,454871857,30.843,2438037,42.07786
002937,兴瑞科技,36.96,3.096,3.88106,430434324,75.429,1150089,42.05012
000712,锦龙股份,8.49,-0.235,3.84504,297712744,26.531,760704,41.985079999999996
600150,中国船舶,34.45,-1.74,1.01233,2115556818,27.782,25925765,41.80466
601969,海南矿业,9.09,3.178,1.13253,200852605,41.318,1803919,41.79906
000400,许继电气,21.61,-0.369,1.43752,314879716,18.741,2201243,41.76804
300059,东方财富,17.36,-2.362,1.92515,4490512176,22.693,27467339,41.7643
605111,新洁能,58.39,-0.832,4.60409,1122569974,61.463,2425127,41.712180000000004
002185,华天科技,16.75,-2.104,6.44211,3588778423,76.136,5566735,41.57222
603661,恒林股份,36.17,-1.578,5.64201,283643262,30.653,503005,41.55002
002379,宏桥控股,16.99,-0.875,2.08034,401614481,12.394,22139870,41.53568
600595,中孚实业,6.6,-0.302,1.21995,322122354,16.5,2645217,41.5339
300919,中伟新材,45.65,-0.414,1.38041,574986584,27.667,4757889,41.51882
002560,通达股份,8.07,-0.616,4.17369,213541708,26.032,593364,41.49938
300031,宝通科技,25.65,-3.061,7.80648,708537340,51.766,1074085,41.42996
301555,惠柏新材,41.98,1.474,16.5102,333442981,53.139,387336,41.4016
000700,模塑科技,14.67,-3.614,6.12128,826003656,27.89,1346729,41.40056
000920,沃顿科技,13.58,-1.737,5.75722,360695634,28.894,641819,41.30344
603267,鸿远电子,66.7,-2.911,7.476,1156498783,61.759,1541310,41.219
002555,三七互娱,17.61,-3.082,2.59954,729747699,13.341,3895751,40.95308
002462,嘉事堂,13.29,2.864,3.65492,138923323,34.974,387679,40.90184
601997,贵阳银行,5.72,-0.522,1.19265,249050723,4.175,2091345,40.8193
301628,强达电路,107.63,0.158,7.66801,228246423,67.269,811270,40.81002
002948,青岛银行,5.89,-0.675,1.35516,280560141,6.929,3428189,40.685320000000004
002236,大华股份,15.84,-2.463,1.52439,581326474,13.424,5178511,40.65978
000682,东方电子,11.84,-0.671,1.33568,212155449,17.407,1587421,40.65836
600600,青岛啤酒,60.69,-0.557,1.12932,480653129,18.046,8279300,40.58764
601689,拓普集团,61.38,-2.895,2.11039,2261793097,38.124,10666835,40.53578
002156,通富微电,60.09,-2.197,6.05054,5519914641,75.113,9119240,40.51008
605117,德业股份,101.2,-2.411,1.31476,1684881675,28.832,12883799,40.396519999999995
603279,景津装备,13.44,2.128,1.9189,147086020,14.769,774645,40.2218
300990,同飞股份,79.26,0.494,4.36732,289405112,53.195,1357063,40.21664
603885,XD吉祥航,10.68,1.041,1.04114,239167943,22.25,2332518,40.20528
600486,扬农化工,53.81,-0.902,1.43938,311556298,16.879,2174526,40.17276
002029,七 匹 狼,8.21,1.609,2.67213,143691911,16.755,578824,40.171260000000004
300628,亿联网络,34.5,-0.947,1.49496,375122542,16.788,4370762,40.148920000000004
002440,闰土股份,8.63,-1.596,2.46614,201952116,14.148,970012,40.14428
002164,宁波东力,13.7,-1.722,5.09934,332654431,37.027,729078,40.03268
002617,露笑科技,8.13,-0.733,6.10968,932844816,73.575,1552158,40.02036
000811,冰轮环境,31.4,-0.095,2.64446,809288049,55.088,3116381,40.00392
603989,艾华集团,30.59,-2.018,5.46406,666319728,46.028,1219868,39.874120000000005
301303,真兰仪表,14.59,-3.313,10.0936,150191542,17.369,596439,39.8738
002237,恒邦股份,12.29,0.655,1.4522,212531243,22.759,1757434,39.8694
300953,震裕科技,140.15,-0.666,3.40246,826122162,46.102,3398772,39.80692
