代码,名称,价格,PE,市值(亿),护城河评分,护城河理由
600016,民生银行,3.48,5.5,1524.0,7,"低估(PE6), 大盘(1524亿)"
601077,渝农商行,6.62,6.3,752.0,7,"低估(PE6), 大盘(752亿)"
002461,珠江啤酒,9.61,23.5,213.0,7,"行业护城河(啤酒), 合理(PE24)"
600362,江西铜业,43.47,21.0,1505.0,5,"合理(PE21), 大盘(1505亿)"
601127,赛力斯,82.98,22.5,1445.0,5,"合理(PE23), 大盘(1445亿)"
601600,中国铝业,11.3,15.3,1939.0,5,"合理(PE15), 大盘(1939亿)"
601868,中国能建,2.9,22.3,1283.0,5,"合理(PE22), 大盘(1283亿)"
600346,恒力石化,17.24,17.1,1214.0,5,"合理(PE17), 大盘(1214亿)"
600886,国投电力,13.81,15.1,1105.0,5,"合理(PE15), 大盘(1105亿)"
002602,世纪华通,14.79,19.0,1090.0,5,"合理(PE19), 大盘(1090亿)"
600489,中金黄金,22.39,22.0,1085.0,5,"合理(PE22), 大盘(1085亿)"
601995,中金公司,33.42,17.8,1613.0,5,"合理(PE18), 大盘(1613亿)"
000958,电投产融,6.03,23.7,1048.0,5,"合理(PE24), 大盘(1048亿)"
601006,大秦铁路,5.13,17.1,1034.0,5,"合理(PE17), 大盘(1034亿)"
000807,云铝股份,28.77,16.4,998.0,5,"合理(PE16), 大盘(998亿)"
000617,中油资本,7.77,22.9,982.0,5,"合理(PE23), 大盘(982亿)"
000100,TCL科技,4.59,19.7,955.0,5,"合理(PE20), 大盘(955亿)"
600160,巨化股份,34.57,24.7,933.0,5,"合理(PE25), 大盘(933亿)"
600089,特变电工,25.91,22.3,1309.0,5,"合理(PE22), 大盘(1309亿)"
601872,招商轮船,16.09,21.7,1299.0,5,"合理(PE22), 大盘(1299亿)"
000895,双汇发展,24.72,16.8,856.0,5,"合理(PE17), 大盘(856亿)"
002648,卫星化学,23.88,15.1,804.0,5,"合理(PE15), 大盘(804亿)"
000625,长安汽车,7.88,19.2,781.0,5,"合理(PE19), 大盘(781亿)"
600026,中远海能,19.85,24.0,1085.0,5,"合理(PE24), 大盘(1085亿)"
000425,徐工机械,9.22,16.2,1080.0,5,"合理(PE16), 大盘(1080亿)"
603799,华友钴业,55.9,16.7,1060.0,5,"合理(PE17), 大盘(1060亿)"
