代码,名称,板块,最新价,涨跌幅,换手率,量比,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high
600196,复星医药,生物医药,23.71,-1.29,1.07408,0.52,23.71,23.42,33.1,1.01,1.7,1.24,28.37
601607,上海医药,生物医药,16.44,-0.36,0.20371,0.59,16.44,16.23,19.68,1.01,1.2,1.29,16.46
601607,上海医药,生物医药,16.44,-0.36,0.40586,0.59,16.44,16.23,19.68,1.01,1.2,1.29,16.46
300841,康华生物,生物医药,51.5,-1.89,1.9118,0.35,51.5,50.83,94.3,1.01,0.4,1.32,45.39
300401,花园生物,生物医药,13.05,1.24,2.25487,0.42,13.05,12.88,19.67,1.01,1.2,1.32,33.66
300401,花园生物,生物医药,13.05,1.24,2.53231,0.42,13.05,12.88,19.67,1.01,1.2,1.32,33.66
300841,康华生物,生物医药,51.5,-1.89,3.03853,0.35,51.5,50.83,94.3,1.01,0.4,1.32,45.39
600216,浙江医药,生物医药,13.66,-1.37,1.08971,0.46,13.66,13.48,18.58,1.01,1.7,1.34,26.48
600216,浙江医药,生物医药,13.66,-1.37,1.70823,0.46,13.66,13.48,18.58,1.01,1.7,1.34,26.48
002688,金河生物,生物医药,5.64,-0.53,1.02944,0.15,5.64,5.56,8.06,1.01,0.8,1.44,30.02
002688,金河生物,生物医药,5.64,-0.53,1.07295,0.15,5.64,5.56,8.06,1.01,0.8,1.44,30.02
600056,中国医药,生物医药,9.9,-0.5,0.77543,1.1,9.9,9.75,12.48,1.02,0.8,1.54,20.67
600056,中国医药,生物医药,9.9,-0.5,1.40695,1.1,9.9,9.75,12.48,1.02,0.8,1.54,20.67
300347,泰格医药,生物医药,42.32,-6.93,3.32151,1.09,42.32,41.61,71.9,1.02,0.4,1.71,41.14
300347,泰格医药,生物医药,42.32,-6.93,3.70113,1.09,42.32,41.61,71.9,1.02,0.4,1.71,41.14
300238,冠昊生物,生物医药,12.89,1.58,1.47699,0.18,12.89,12.63,19.98,1.02,0.8,2.06,35.49
300238,冠昊生物,生物医药,12.89,1.58,1.59244,0.18,12.89,12.63,19.98,1.02,0.8,2.06,35.49
600276,恒瑞医药,生物医药,51.45,0.98,1.1189,1.52,51.45,50.38,74.04,1.02,0.8,2.12,30.51
300239,东宝生物,生物医药,5.25,1.94,1.35882,0.6,5.25,5.12,6.82,1.03,1.2,2.54,23.02
300239,东宝生物,生物医药,5.25,1.94,1.39007,0.6,5.25,5.12,6.82,1.03,1.2,2.54,23.02
300653,正海生物,生物医药,16.82,1.57,0.92213,0.54,16.82,16.4,23.95,1.03,0.8,2.56,29.77
300653,正海生物,生物医药,16.82,1.57,0.65389,0.54,16.82,16.4,23.95,1.03,0.8,2.56,29.77
