代码,名称,价格,涨幅,换手率,量比,成交额(亿),振幅,PE,市值(亿),技术信号,热门板块,距MA5,距MA10
300867,圣元环保,21.96,3.34,4.92,0.0,2.05,0.0,24.04,59.67,"站上均线, 连续上涨",其他,6.08,4.63
002965,祥鑫科技,36.67,3.3,9.37,0.0,6.51,0.0,62.78,97.31,"站上均线, 连续上涨, 放量",其他,8.34,5.15
002106,莱宝高科,12.83,3.22,7.02,0.0,6.27,0.0,36.94,90.56,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,5.34,7.16
601222,林洋能源,6.45,3.2,2.74,0.0,3.56,0.0,53.75,131.66,均线多头,其他,-0.37,0.09
002669,康达新材,16.55,3.18,16.55,0.0,8.1,0.0,38.85,50.21,"均线多头, 站上均线",其他,2.77,5.09
603871,嘉友国际,12.41,3.16,1.25,0.0,2.09,0.0,14.77,169.77,"站上均线, 突破10日高点",其他,2.17,4.45
600179,安通控股,4.59,3.15,1.98,0.0,3.51,0.0,17.89,194.23,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,3.1,3.49
603319,美湖股份,43.94,3.15,16.84,0.0,24.87,0.0,141.74,149.02,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,10.34,20.57
600630,龙头股份,8.32,3.1,3.66,0.0,1.28,0.0,75.64,35.35,"站上均线, 突破10日高点, 连续上涨, 放量",其他,4.47,5.83
002008,大族激光,134.65,3.1,7.03,0.0,89.42,0.0,117.09,1386.36,"连续上涨, 放量",其他,3.73,0.44
002885,京泉华,43.49,3.08,9.51,0.0,9.75,0.0,140.29,117.82,连续上涨,其他,1.16,-5.71
300408,三环集团,139.03,3.07,3.96,0.0,100.12,0.0,101.48,2664.51,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,4.88,11.38
601133,柏诚股份,28.3,3.06,4.61,0.0,6.78,0.0,72.56,149.43,连续上涨,其他,5.53,-2.06
301522,上大股份,27.3,2.98,3.81,0.0,2.87,0.0,101.0,101.52,放量,其他,0.81,-4.71
002916,深南电路,393.38,2.98,2.32,0.0,59.37,0.0,80.12,2679.57,"均线多头, 站上均线",其他,0.07,1.02
603109,神驰机电,21.86,2.97,4.46,0.0,2.03,0.0,30.6,45.65,"站上均线, 突破10日高点, 连续上涨, 放量",其他,8.19,8.06
603124,江南新材,152.73,2.97,4.99,0.0,5.82,0.0,95.46,222.6,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,7.0,11.59
002676,顺威股份,5.59,2.95,2.82,0.0,1.13,0.0,50.5,40.25,"连续上涨, 放量",其他,2.49,0.87
300809,华辰装备,37.75,2.94,11.69,0.0,6.68,0.0,47.19,95.71,连续上涨,其他,2.35,-1.73
002472,双环传动,41.39,2.86,5.66,0.0,17.61,0.0,27.59,351.79,连续上涨,其他,3.67,-0.76
603290,斯达半导,121.33,2.86,3.91,0.0,11.3,0.0,71.79,290.55,连续上涨,其他,0.77,-4.23
603150,万朗磁塑,66.65,2.85,3.19,0.0,1.82,0.0,50.11,56.97,连续上涨,其他,1.69,-1.39
603416,信捷电气,57.96,2.82,2.9,0.0,2.33,0.0,34.5,91.08,连续上涨,其他,4.64,-0.8
601137,博威合金,23.3,2.82,9.42,0.0,20.25,0.0,155.33,214.02,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,9.03,9.8
300951,博硕科技,42.15,2.81,2.59,0.0,1.64,0.0,49.01,71.4,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,4.98,6.78
301305,朗坤科技,31.85,2.81,11.5,0.0,4.51,0.0,28.91,77.06,"均线多头, 站上均线, 突破10日高点",其他,2.32,9.06
603211,晋拓股份,27.6,2.79,2.35,0.0,1.77,0.0,110.4,75.02,连续上涨,其他,2.35,-0.77
300913,兆龙互连,63.62,2.78,11.79,0.0,18.95,0.0,85.97,218.08,"站上均线, 突破10日高点, 连续上涨",其他,4.22,12.44
300241,瑞丰光电,8.18,2.76,16.13,0.0,7.58,0.0,87.02,57.97,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,5.25,8.27
603311,金海高科,38.53,2.72,8.67,0.0,7.82,0.0,116.76,90.89,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,12.46,18.96
300698,万马科技,35.45,2.66,3.31,0.0,1.38,0.0,101.29,47.5,连续上涨,其他,2.13,-3.08
300943,春晖智控,39.18,2.62,6.34,0.0,3.22,0.0,135.1,79.86,"站上均线, 连续上涨",其他,1.68,0.82
300540,蜀道装备,26.98,2.59,7.53,0.0,4.19,0.0,101.62,61.94,"连续上涨, 放量",其他,3.51,1.11
301565,中仑新材,26.29,2.58,19.2,0.0,6.26,0.0,131.45,105.16,均线多头,其他,-2.45,3.42
002876,三利谱,31.87,2.58,8.45,0.0,3.97,0.0,118.04,55.42,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,7.52,10.43
301596,瑞迪智驱,75.5,2.57,6.22,0.0,1.47,0.0,47.59,58.26,连续上涨,其他,1.83,-5.39
002821,凯莱英,119.62,2.56,1.42,0.0,5.28,0.0,37.85,431.68,连续上涨,其他,2.6,-0.25
605287,德才股份,43.95,2.54,3.07,0.0,1.86,0.0,84.52,61.53,连续上涨,其他,2.66,-3.03
300136,信维通信,98.0,2.51,8.24,0.0,65.8,0.0,131.7,948.22,连续上涨,其他,3.0,-5.79
002498,汉缆股份,8.23,2.49,3.42,0.0,9.27,0.0,49.46,273.8,连续上涨,其他,1.28,-3.12
002938,鹏鼎控股,111.0,2.49,2.29,0.0,57.7,0.0,68.94,2572.47,"均线多头, 站上均线",其他,2.87,4.14
002708,光洋股份,14.42,2.42,5.86,0.0,4.39,0.0,78.97,81.05,连续上涨,其他,4.21,-1.36
603060,国检集团,7.21,2.42,3.24,0.0,1.85,0.0,48.55,57.97,"站上均线, 突破10日高点, 连续上涨",其他,2.44,5.86
600475,华光环能,15.64,2.42,1.68,0.0,2.43,0.0,38.41,149.51,连续上涨,其他,0.23,-5.09
603040,新坐标,89.29,2.41,2.63,0.0,3.21,0.0,44.87,121.84,"站上均线, 连续上涨",其他,5.58,1.5
600522,中天科技,46.06,2.4,10.38,0.0,162.74,0.0,53.75,1572.0,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,6.86,8.92
300182,捷成股份,6.02,2.38,8.7,0.0,12.59,0.0,83.84,160.36,站上均线,其他,1.45,4.3
605319,无锡振华,27.3,2.32,2.22,0.0,2.08,0.0,20.37,95.58,"站上均线, 突破10日高点, 连续上涨",其他,6.74,8.15
301550,斯菱智驱,113.3,2.31,3.4,0.0,7.97,0.0,151.07,379.95,连续上涨,其他,2.11,-14.04
603733,仙鹤股份,26.0,2.28,1.95,0.0,3.52,0.0,18.18,184.01,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,5.55,11.04
300130,新国都,25.03,2.25,6.12,0.0,6.6,0.0,30.16,142.0,"站上均线, 突破10日高点, 连续上涨",其他,4.06,3.64
603303,得邦照明,27.76,2.25,1.93,0.0,2.56,0.0,49.12,132.4,"均线多头, 站上均线, 连续上涨",其他,2.49,7.46
600382,广东明珠,8.8,2.21,3.58,0.0,2.19,0.0,31.16,61.11,"站上均线, 连续上涨",其他,5.62,4.9
300984,金沃股份,58.48,2.2,3.6,0.0,1.89,0.0,146.2,80.39,连续上涨,其他,2.58,-6.14
301338,凯格精机,254.18,2.14,9.95,0.0,13.29,0.0,145.25,270.45,"均线多头, 站上均线",其他,2.09,11.7
603118,共进股份,13.25,2.08,5.78,0.0,6.07,0.0,132.5,104.31,连续上涨,其他,3.05,0.2
600483,福能股份,11.92,2.06,2.08,0.0,6.84,0.0,11.24,331.39,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,2.71,6.11
601016,节能风电,4.97,2.05,8.41,0.0,25.46,0.0,46.89,325.26,站上均线,其他,0.57,3.01
600183,生益科技,143.96,2.03,3.55,0.0,119.82,0.0,103.57,3496.96,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,2.48,11.02
