代码,名称,最新价,涨跌幅,市盈率,换手率,红三兵位置,距红三兵天数,三日涨幅,理想形态,涨幅适中,成交量配合,第一日涨幅,第二日涨幅,第三日涨幅
605228,神通科技,13.48,-0.074,43.484,1.75082,6,1,11.49,False,False,False,1.98,7.94,1.73
002869,金溢科技,18.03,-7.062,-24.04,3.5644,6,1,7.12,False,False,False,0.39,0.22,6.59
002816,*ST和科,25.19,-1.678,142.316,2.4316,6,1,5.04,False,False,False,2.34,0.12,3.1
002354,天娱数科,7.98,-10.034,-270.508,9.865,6,1,24.93,False,False,False,3.24,4.0,7.13
300489,光智科技,176.0,16.456,-729.988,9.44359,6,1,26.84,False,False,False,15.54,4.88,2.99
600556,天下秀,4.91,-7.88,245.5,5.18069,6,1,7.46,False,False,False,0.4,0.2,6.39
603938,三孚股份,58.97,-1.684,280.81,17.3991,6,1,18.3,False,False,False,2.94,0.85,14.9
300284,苏交科,5.64,-6.931,303.226,1.93136,5,2,1.38,False,False,False,0.69,1.38,1.03
002528,*ST英飞,4.78,-1.035,-19.728,0.62202,5,2,1.46,False,False,False,0.63,2.11,0.21
600733,北汽蓝谷,5.7,-1.724,-6.951,1.04594,5,2,1.53,False,False,False,0.51,2.06,0.51
002955,鸿合科技,30.73,2.948,139.682,6.03868,5,2,13.49,False,False,False,8.13,1.59,1.35
002631,德尔未来,7.75,-1.274,-27.968,3.56725,5,2,15.46,False,False,False,5.67,11.67,0.74
002963,豪尔赛,18.79,0.481,-22.106,5.6179,5,2,11.57,False,False,False,0.37,9.37,0.96
300465,高伟达,15.96,-2.206,246.677,5.30832,5,2,17.82,False,False,False,4.77,12.13,3.01
603270,金帝股份,30.1,0.066,44.925,11.5655,5,2,15.27,False,False,False,11.12,1.42,1.68
300145,南方泵业,5.4,-1.639,43.902,6.19705,4,3,14.35,False,False,False,0.68,0.91,15.4
002674,兴业科技,15.81,3.064,46.053,3.82942,4,3,8.6,False,False,False,1.17,0.14,8.75
002085,万丰奥威,12.35,-4.338,26.277,3.10023,4,3,7.42,False,False,False,0.17,1.75,8.08
300531,优博讯,15.01,-0.989,58.359,3.6598,4,3,5.7,False,False,False,0.51,1.02,3.25
301255,通力科技,23.39,-2.542,80.655,5.62952,4,3,5.54,False,False,False,0.46,4.64,3.85
301118,恒光股份,28.8,-3.679,-194.99,10.46,4,3,5.15,False,False,False,0.56,1.15,3.49
600749,西藏旅游,16.12,-5.51,154.406,8.7608,4,3,9.18,False,False,False,0.07,1.28,8.67
