代码,名称,最新价,涨跌幅,市盈率,换手率,距MA20,回调幅度,量比,缩量,MACD多头,MA20向上,MA60向上,MA5拐头,MA5,MA20,MA60
605303,园林股份,27.85,4.034,-26.524,3.65395,-1.05,5.91,0.94,False,False,True,False,False,27.54,28.15,23.23
600460,士兰微,33.18,-1.044,138.25,3.79303,-0.86,6.06,0.84,False,False,True,False,False,33.5,33.47,29.46
600795,国电电力,4.99,1.423,12.413,0.99573,-0.92,6.2,0.88,False,False,True,False,False,4.99,5.04,4.95
603377,ST东时,3.54,-0.282,-3.404,0.72148,-1.56,6.35,0.94,False,False,True,False,False,3.58,3.6,3.64
605020,永和股份,33.26,1.094,27.488,4.83412,-0.11,6.57,0.83,False,False,True,False,False,33.02,33.3,28.51
002068,黑猫股份,9.98,-1.772,-15.682,3.92035,-2.27,7.25,0.83,False,False,True,False,False,10.33,10.21,9.35
002353,杰瑞股份,145.01,0.145,54.928,3.44201,1.59,7.84,0.85,False,False,True,False,False,147.97,142.74,125.39
002938,鹏鼎控股,106.5,-4.106,66.149,1.69249,1.87,7.87,0.8,False,False,True,False,False,110.26,104.55,76.61
002980,华盛昌,116.81,0.163,248.532,8.68797,2.32,8.17,0.86,False,False,True,False,False,119.31,114.16,79.18
300041,回天新材,13.34,-2.699,33.526,6.05401,-1.77,8.38,0.83,False,False,True,False,False,13.45,13.58,11.92
301305,朗坤科技,29.1,3.559,26.416,9.20598,3.22,8.63,0.99,False,False,True,False,False,28.8,28.19,26.71
600123,兰花科创,6.71,1.976,-18.308,2.72616,-1.08,8.96,0.91,False,False,True,False,False,6.96,6.78,6.71
603439,三力制药,15.47,4.739,140.636,4.86225,4.63,9.0,0.87,False,False,True,False,False,15.72,14.79,12.39
300709,精研科技,47.23,-2.619,168.679,10.3511,-1.58,9.0,0.94,False,False,True,False,False,49.23,47.99,43.32
300779,惠城环保,75.93,-3.335,253.1,3.85336,-2.27,9.21,0.94,False,False,True,False,False,77.42,77.69,82.51
603997,继峰股份,13.83,1.916,38.417,1.6031,-1.31,9.43,0.88,False,False,True,False,False,14.06,14.01,13.07
300679,电连技术,54.34,-4.784,84.906,6.03698,-2.83,9.43,0.91,False,False,True,False,False,57.5,55.92,46.11
300757,罗博特科,620.0,0.646,-1512.19,3.68034,1.2,9.84,0.9,False,False,True,False,False,624.2,612.64,508.91
301115,联检科技,30.58,-4.795,254.833,4.09897,2.45,10.32,0.95,False,False,True,False,False,32.38,29.85,24.34
603979,金诚信,68.11,2.916,18.163,1.08096,-1.73,10.79,0.95,False,False,True,False,False,68.23,69.31,63.85
600642,申能股份,9.56,1.271,11.876,0.53609,-2.67,11.15,0.85,False,False,True,False,False,9.59,9.82,9.35
301200,大族数控,263.09,-2.851,134.918,0.96324,-1.99,11.95,0.9,False,False,True,False,False,275.49,268.44,209.38
603681,永冠新材,23.4,5.311,34.925,7.54815,1.51,12.03,0.88,False,False,True,False,False,22.92,23.05,19.68
300308,中际旭创,1124.0,-2.005,114.694,2.75622,-0.19,12.19,0.88,False,False,True,False,False,1157.2,1126.12,875.82
605111,新洁能,58.39,-0.832,61.463,4.60409,-2.24,12.34,0.86,False,False,True,False,False,59.14,59.73,46.77
603990,麦迪科技,20.04,-4.571,154.154,6.10605,2.5,12.72,0.82,False,False,True,False,False,21.29,19.55,16.74
300620,光库科技,293.45,2.39,413.893,6.00338,2.54,12.94,0.84,False,False,True,False,False,301.73,286.18,242.36
601991,大唐发电,7.99,2.964,25.325,5.10478,0.67,12.96,0.89,False,False,True,False,False,7.73,7.94,5.59
002436,兴森科技,36.75,-1.422,459.375,8.43132,-0.27,12.96,0.86,False,False,True,False,False,37.42,36.85,29.14
301591,肯特股份,45.69,-0.175,58.577,17.393,-0.86,13.82,0.96,False,False,True,False,False,45.53,46.09,43.38
002771,真视通,15.17,-5.188,-50.567,7.79862,-2.91,14.68,0.92,False,False,True,False,False,15.95,15.62,15.96
